1	8192	218326	125904	426	
1	8192	216930	105483	153	
1	8192	175396	133835	251	
1	8192	208204	207940	137	
2	16384	275648	281202	467	
0	8192	152410	191646	179	
0	8192	142057	131116	173	
1	8192	183775	115604	133	
1	8192	43839	25248	45	
0	8192	143278	176288	237	
1	8192	165757	173415	219	
1	8192	227409	189627	327	
2	16384	144788	195708	501	
1	8192	189661	161175	240	
0	8192	130660	168277	174	
0	8192	88942	155530	224	
1	8192	223858	162224	438	
2	16384	259742	301305	74	
1	8192	232067	121986	372	
0	8192	146840	147205	221	
0	8192	146631	143709	132	
1	8192	253773	118011	364	
0	8192	153812	159286	180	
1	8192	118424	163459	253	
0	8192	167252	184363	220	
1	8192	210113	128460	342	
2	16384	229402	302517	409	
0	8192	126330	200133	113	
1	8192	214658	155267	150	
2	16384	229931	295135	303	
1	8192	156500	135337	253	
2	16384	219516	327883	315	
1	8192	238762	211424	93	
1	8192	41461	32454	54	
2	16384	201748	332653	335	
2	16384	246442	223425	391	
0	8192	94377	182531	141	
0	8192	130416	206632	141	
2	16384	311411	373408	274	
0	8192	80903	173954	125	
2	16384	288282	294796	190	
0	8192	139285	141294	121	
1	8192	225557	169984	16	
1	8192	162422	187379	449	
0	8192	155794	187997	126	
1	8192	189656	180299	302	
1	8192	170191	147924	249	
1	8192	211060	121173	248	
1	8192	152699	139407	101	
1	8192	180583	126212	196	
0	8192	103941	140652	78	
1	8192	197584	138365	323	
0	8192	96337	104218	174	
0	8192	127012	180333	131	
1	8192	166282	102239	216	
0	8192	118179	139286	232	
2	16384	191768	321640	318	
1	8192	94239	138404	307	
1	8192	202442	170916	300	
0	8192	143666	131111	144	
0	8192	26424	29858	3	
1	8192	204907	153011	248	
1	8192	175841	138831	331	
1	8192	168572	186718	493	
0	8192	118860	141608	160	
2	16384	298865	329509	397	
0	8192	109259	208213	181	
1	8192	197125	147717	190	
1	8192	191345	176951	340	
2	16384	171182	308591	60	
1	8192	211108	110939	210	
0	8192	112960	159270	124	
0	8192	123285	255414	273	
0	8192	149768	148686	140	
1	8192	152241	208156	257	
0	8192	137374	177716	262	
1	8192	210308	191756	213	
1	8192	153944	182942	289	
1	8192	122495	198456	201	
1	8192	219822	200647	269	
1	8192	211057	106734	263	
0	8192	111966	180822	138	
2	16384	258262	381303	162	
1	8192	115938	187388	320	
1	8192	246680	144787	206	
2	16384	290425	284066	331	
1	8192	217314	137581	95	
1	8192	204748	148063	183	
1	8192	143809	139705	170	
1	8192	186966	230968	427	
1	8192	133241	141295	173	
1	8192	207071	151582	346	
1	8192	149501	188298	211	
2	16384	253443	377342	567	
1	8192	140918	166158	349	
2	16384	261450	246932	370	
1	8192	141742	154389	194	
0	8192	149495	144553	99	
0	8192	163257	115242	310	
0	8192	112224	91793	158	
0	8192	135100	134669	135	
1	8192	215916	168019	261	
1	8192	246365	201595	189	
1	8192	136954	114616	211	
0	8192	146895	144186	37	
2	16384	244085	352422	464	
1	8192	199341	162028	117	
1	8192	200668	130364	91	
1	8192	126344	100244	211	
1	8192	150430	133052	200	
1	8192	21573	40677	34	
1	8192	199122	99883	115	
2	16384	233054	365656	367	
1	8192	244290	128410	223	
0	8192	160619	158841	231	
0	8192	138041	190109	112	
1	8192	207769	164223	95	
1	8192	213511	163438	195	
1	8192	234910	164671	444	
0	8192	114441	157927	238	
0	8192	126343	146544	226	
1	8192	185847	159989	216	
1	8192	169745	145615	313	
2	16384	305900	368985	121	
0	8192	153084	139566	77	
1	8192	240195	184869	167	
0	8192	151725	102266	205	
1	8192	148601	157509	308	
1	8192	201398	140395	166	
1	8192	225795	84423	152	
1	8192	227631	125848	127	
1	8192	209908	103866	134	
2	16384	214333	349282	359	
1	8192	255735	134384	282	
2	16384	343176	328704	437	
1	8192	236172	174207	256	
1	8192	180363	162932	319	
1	8192	187027	90711	131	
1	8192	152180	178003	328	
2	16384	230324	217957	240	
0	8192	119431	143388	174	
1	8192	258986	157403	246	
1	8192	184590	147353	258	
1	8192	192421	110358	118	
0	8192	108512	147010	190	
0	8192	135396	125770	158	
1	8192	246607	177675	202	
2	16384	314143	272829	237	
1	8192	260171	173168	276	
2	16384	76752	60070	69	
0	8192	137927	171002	122	
0	8192	125914	154752	156	
1	8192	222580	87083	269	
0	8192	134326	118888	177	
1	8192	238271	110512	141	
1	8192	167465	144457	336	
0	8192	133044	85245	114	
179522.7133757962	172716.0891719745	224.77707006369425	
0.32418702392532206	0.4117692282067254	0.4859373225273599	
1	8192	193621	173257	301	
1	8192	211427	203660	271	
2	16384	188475	293471	333	
1	8192	49009	25975	59	
2	16384	250636	219237	276	
2	16384	229242	347184	239	
1	8192	176116	169327	149	
0	8192	32441	37524	54	
2	16384	285105	340075	343	
2	16384	330440	288627	568	
1	8192	221588	132817	218	
1	8192	211069	148836	139	
